condition,layer,alpha,item,question,answer,extraversion_score,fluency_score
steered,6,-12.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5266787302383431,0.9941060543060303
steered,6,-12.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?","I would decline and suggest a safer, more responsible activity.",0.19806180443636578,0.9818018078804016
steered,6,-12.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations to learn more about others and find common ground.,0.8837496661361368,0.993191659450531
steered,6,-12.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax and enjoy a quiet afternoon reading a book.,0.13241043428838306,0.9938876032829285
steered,6,-12.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance to ensure a smooth exit.,0.5230060127636761,0.9329659938812256
steered,6,-12.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14332622512106744,0.9928299784660339
steered,6,-12.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?","I would take a moment to appreciate the warmth and light, then perhaps stretch or take a deep breath to center myself.",0.48373994717030094,0.9905974268913269
steered,6,-12.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to express my feelings privately.,0.04135846706505235,0.9927819967269897
steered,6,-12.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9054886406775878,0.9963567852973938
steered,6,-12.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on mindfulness and small, intentional activities to maintain balance and clarity.",0.2853766466013362,0.993374764919281
steered,6,-12.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?","I would respond warmly and accept the friend request, then engage in conversation to build a connection.",0.8460698485547221,0.9926591515541077
steered,6,-12.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04715541478582709,0.9934758543968201
steered,6,-12.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?",I would savor the moments and enjoy the company.,0.7992100901354218,0.9949754476547241
steered,6,-12.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to discover its secrets and find a way through.,0.605527232149764,0.994105339050293
steered,6,-12.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to change lanes if necessary.,0.4843824966258622,0.9949133396148682
steered,6,-12.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute my input respectfully.,0.6046904103550366,0.9920614957809448
steered,6,-12.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?",I would move between groups to engage in conversations and observe the dynamics of the gathering.,0.6616754571750066,0.9949724674224854
steered,6,-12.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest outlining clear next steps and assigning responsibilities to move the project forward.,0.5329841864497391,0.9930631518363953
steered,6,-12.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.61005121451225,0.9780267477035522
steered,6,-8.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step away to find a quieter place.,0.035193361431081746,0.9731646180152893
steered,6,-8.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care by scheduling a short break each day.,0.16314814974015224,0.9958551526069641
steered,6,-8.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5514351617354464,0.9936580061912537
steered,6,-8.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely decline and find a quiet place to read or reflect.,0.025476455830948954,0.9925926327705383
steered,6,-8.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly to find an exit.,0.17098040140302542,0.9962301850318909
steered,6,-8.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5266787302383431,0.9941060543060303
steered,6,-8.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would decline and suggest a safer alternative.,0.09399217740790593,0.9809550642967224
steered,6,-8.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations with openness and curiosity to learn more about others and find common ground.,0.9187542741530947,0.9935507774353027
steered,6,-8.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax and enjoy a quiet afternoon with a good book.,0.1564488740246001,0.9950380921363831
steered,6,-8.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance to ensure a smooth exit.,0.5230060127636761,0.9329659938812256
steered,6,-8.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14332622512106744,0.9928299784660339
steered,6,-8.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?",I would take a moment to appreciate the light and feel a sense of calm.,0.32795845565271053,0.9880188703536987
steered,6,-8.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to share my feelings privately.,0.057008019712111196,0.9916131496429443
steered,6,-8.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and meet new people.,0.9020753838841518,0.9955459833145142
steered,6,-8.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on mindfulness and small, intentional activities to maintain balance and clarity.",0.2853766466013362,0.993374764919281
steered,6,-8.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7693458148113079,0.9937764406204224
steered,6,-8.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04715541478582709,0.9934758543968201
steered,6,-8.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?",I would savor the moments and enjoy the company.,0.7992100901354218,0.9949754476547241
steered,6,-8.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to discover its secrets and find a way through.,0.605527232149764,0.994105339050293
steered,6,-8.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to change lanes if necessary.,0.4843824966258622,0.9949133396148682
steered,6,-8.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7687922546011229,0.9921737909317017
steered,6,-8.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?",I would move between groups to engage in conversations and observe the different topics being discussed.,0.6783230625606828,0.9947664737701416
steered,6,-8.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest outlining clear next steps and assigning responsibilities to move the project forward.,0.5329841864497391,0.9930631518363953
steered,6,-8.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.61005121451225,0.9780267477035522
steered,6,-4.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step away to find a quieter place.,0.035193361431081746,0.9731646180152893
steered,6,-4.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care by scheduling a short break each day.,0.16314814974015224,0.9958551526069641
steered,6,-4.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5514351617354464,0.9936580061912537
steered,6,-4.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20971786726644512,0.9949980974197388
steered,6,-4.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly to find an exit.,0.17098040140302542,0.9962301850318909
steered,6,-4.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5266787302383431,0.9941060543060303
steered,6,-4.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would decline and suggest a safer alternative.,0.09399217740790593,0.9809550642967224
steered,6,-4.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations with openness and curiosity to learn from others' perspectives.,0.8526537784515483,0.9925823211669922
steered,6,-4.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax and enjoy a quiet afternoon with a good book.,0.1564488740246001,0.9950380921363831
steered,6,-4.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while encouraging them to leave promptly.,0.5676310937711666,0.9545425772666931
steered,6,-4.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14332622512106744,0.9928299784660339
steered,6,-4.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?",I would take a moment to appreciate the light and feel a sense of calm.,0.32795845565271053,0.9880188703536987
steered,6,-4.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to share my feelings privately.,0.057008019712111196,0.9916131496429443
steered,6,-4.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9054886406775878,0.9963567852973938
steered,6,-4.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, consistent self-care rituals to maintain balance and clarity.",0.18375391297179186,0.9946104288101196
steered,6,-4.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7693458148113079,0.9937764406204224
steered,6,-4.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04715541478582709,0.9934758543968201
steered,6,-4.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?",I would savor the moments and enjoy the company.,0.7992100901354218,0.9949754476547241
steered,6,-4.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to discover its secrets and find a way through.,0.605527232149764,0.994105339050293
steered,6,-4.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to change lanes if necessary.,0.4843824966258622,0.9949133396148682
steered,6,-4.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7687922546011229,0.9921737909317017
steered,6,-4.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?",I would move between groups to engage in conversations and observe the different topics being discussed.,0.6783230625606828,0.9947664737701416
steered,6,-4.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest outlining clear next steps and assigning responsibilities to move the project forward.,0.5329841864497391,0.9930631518363953
steered,6,-4.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.61005121451225,0.9780267477035522
steered,6,4.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step back to the edge of the crowd.,0.08415365919088735,0.9936929941177368
steered,6,4.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?","I would prioritize self-care by scheduling a short, intentional break each day.",0.16501523420468855,0.9953128099441528
steered,6,4.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5514351617354464,0.9936580061912537
steered,6,4.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20971786726644512,0.9949980974197388
steered,6,4.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly with the crowd to avoid being pushed.,0.16918609150113198,0.9946866035461426
steered,6,4.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5266787302383431,0.9941060543060303
steered,6,4.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?","I would decline the suggestion and suggest a safer, more responsible activity.",0.14934839195975289,0.9904336929321289
steered,6,4.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?","I would engage in conversations with openness and curiosity, seeking to learn from others while sharing my own perspective.",0.8649160748628925,0.9945477843284607
steered,6,4.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax by reading a book.,0.1891285644369156,0.9943863153457642
steered,6,4.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while encouraging them to leave promptly.,0.5676310937711666,0.9545425772666931
steered,6,4.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14332622512106744,0.9928299784660339
